rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,348.0,450.0,208.0,1679.0,255.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,330.0,222.0,1798.0,312.0,2024-06-11,2024-06-15
51045,862225236403589050,452.0,220.0,159.0,1288.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,180.0,399.0,137.0,1110.0,144.0,2024-06-11,2024-06-15
51045,862225236403589050,226.0,299.0,151.0,1223.0,193.0,2024-06-11,2024-06-15
51045,862225236403589050,329.0,450.0,201.0,1628.0,244.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,369.0,229.0,1848.0,313.0,2024-06-11,2024-06-15
51045,862225236403589050,432.0,419.0,266.0,2152.0,367.0,2024-06-11,2024-06-15
51045,862225236403589050,499.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
51045,862225236403589050,383.0,339.0,204.0,1648.0,276.0,2024-06-11,2024-06-15
51045,862225236403589050,277.0,299.0,171.0,1381.0,228.0,2024-06-11,2024-06-15
51045,862225236403589050,312.0,260.0,164.0,1324.0,225.0,2024-06-11,2024-06-15
51045,862225236403589050,325.0,400.0,195.0,1577.0,246.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,190.0,139.0,1127.0,200.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,160.0,1290.0,195.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,369.0,228.0,1842.0,311.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,488.0,369.0,261.0,2111.0,370.0,2024-06-11,2024-06-15
51045,862225236403589050,378.0,400.0,215.0,1736.0,280.0,2024-06-11,2024-06-15
51045,862225236403589050,488.0,369.0,261.0,2111.0,370.0,2024-06-11,2024-06-15
51045,862225236403589050,499.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,299.0,285.0,2302.0,430.0,2024-06-11,2024-06-15
51045,862225236403589050,294.0,299.0,0,1371.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,430.0,420.0,224.0,1812.0,292.0,2024-06-11,2024-06-15
51045,862225236403589050,439.0,395.0,253.0,2044.0,349.0,2024-06-11,2024-06-15
51045,862225236403589050,478.0,290.0,223.0,1801.0,322.0,2024-06-11,2024-06-15
51045,862225236403589050,488.0,369.0,261.0,2111.0,370.0,2024-06-11,2024-06-15
51045,862225236403589050,282.0,330.0,189.0,1528.0,252.0,2024-06-11,2024-06-15
51045,862225236403589050,465.0,245.0,256.0,2071.0,393.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,160.0,1290.0,195.0,2024-06-11,2024-06-15
51045,862225236403589050,249.0,206.0,130.0,1050.0,179.0,2024-06-11,2024-06-15
51045,862225236403589050,386.0,395.0,216.0,1748.0,284.0,2024-06-11,2024-06-15
51045,862225236403589050,593.0,575.0,368.0,2974.0,508.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,595.0,539.0,4357.0,806.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,331.0,2677.0,499.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,201.0,1627.0,269.0,2024-06-11,2024-06-15
51045,862225236403589050,325.0,400.0,195.0,1577.0,246.0,2024-06-11,2024-06-15
51045,862225236403589050,255.0,230.0,140.0,1130.0,190.0,2024-06-11,2024-06-15
51045,862225236403589050,399.0,325.0,215.0,1736.0,299.0,2024-06-11,2024-06-15
51045,862225236403589050,325.0,400.0,195.0,1577.0,246.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,160.0,1290.0,195.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
51045,862225236403589050,234.0,299.0,155.0,1250.0,199.0,2024-06-11,2024-06-15
51045,862225236403589050,277.0,299.0,171.0,1381.0,228.0,2024-06-11,2024-06-15
51045,862225236403589050,285.0,290.0,158.0,1276.0,207.0,2024-06-11,2024-06-15
51045,862225236403589050,285.0,380.0,193.0,1561.0,247.0,2024-06-11,2024-06-15
51045,862225236403589050,499.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
51045,862225236403589050,492.0,399.0,294.0,2379.0,422.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,455.0,151.0,1222.0,154.0,2024-06-11,2024-06-15
51045,862225236403589050,310.0,415.0,190.0,1537.0,233.0,2024-06-11,2024-06-15
51045,862225236403589050,475.0,429.0,286.0,2312.0,399.0,2024-06-11,2024-06-15
51045,862225236403589050,264.0,294.0,174.0,1407.0,235.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,590.0,362.0,2927.0,494.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,315.0,339.0,194.0,1566.0,258.0,2024-06-11,2024-06-15
51045,862225236403589050,196.0,275.0,139.0,1122.0,177.0,2024-06-11,2024-06-15
51045,862225236403589050,478.0,290.0,223.0,1801.0,322.0,2024-06-11,2024-06-15
51045,862225236403589050,636.0,450.0,389.0,3142.0,576.0,2024-06-11,2024-06-15
51045,862225236403589050,399.0,325.0,215.0,1736.0,299.0,2024-06-11,2024-06-15
51045,862225236403589050,475.0,429.0,286.0,2312.0,399.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,369.0,228.0,1842.0,311.0,2024-06-11,2024-06-15
51045,862225236403589050,355.0,0,0,1872.0,305.0,2024-06-11,2024-06-15
51045,862225236403589050,320.0,345.0,142.0,1147.0,165.0,2024-06-11,2024-06-15
51045,862225236403589050,196.0,275.0,139.0,1122.0,177.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,193.0,1563.0,268.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,485.0,335.0,2710.0,473.0,2024-06-11,2024-06-15
51045,862225236403589050,230.0,249.0,153.0,1236.0,209.0,2024-06-11,2024-06-15
51045,862225236403589050,234.0,220.0,140.0,1135.0,194.0,2024-06-11,2024-06-15
51045,862225236403589050,256.0,250.0,158.0,1275.0,217.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,250.0,147.0,1188.0,198.0,2024-06-11,2024-06-15
